企画番号,団体名,企画名,アイコン
L-521,真田研究室,石積み体験,https://api2025.jizi.jp/v1/plans/L-521/icon
L-601,二階堂研究室,にかいどうぶつえん,https://api2025.jizi.jp/v1/plans/L-601/icon
L-602,林研究室,プロテオミクスによる生体のプロファイリング,https://api2025.jizi.jp/v1/plans/L-602/icon
L-701,ものつくりセンター,楽しい★ものつくりの世界,https://api2025.jizi.jp/v1/plans/L-701/icon
L-702,超スマート社会卓越教育院,超スマート社会って何だろう？,https://api2025.jizi.jp/v1/plans/L-702/icon
M-001,A.T.C.,屋台といえば、いか焼き！,https://api2025.jizi.jp/v1/plans/M-001/icon
M-002,O.T.C.,伝説の揚げアイス,https://api2025.jizi.jp/v1/plans/M-002/icon
M-003,天文研究部飲食班,天文研わたがし,https://api2025.jizi.jp/v1/plans/M-003/icon
M-004,ユニット67、68,なかよしcafe,https://api2025.jizi.jp/v1/plans/M-004/icon
M-005,東京科学大学管弦楽団金管打楽器セクション,火の鳥,https://api2025.jizi.jp/v1/plans/M-005/icon
M-006,渓友会,人間もぐらたたき,https://api2025.jizi.jp/v1/plans/M-006/icon
M-007,ゴルフ部,ゴルフ部の五平餅,https://api2025.jizi.jp/v1/plans/M-007/icon
M-008,ハンググライダー部Sylph,空飛ぶじゃがバター,https://api2025.jizi.jp/v1/plans/M-008/icon
M-009,東京科学大剣道部,コテメン堂,https://api2025.jizi.jp/v1/plans/M-009/icon
M-010,韓国人留学生会,韓国伝統デザート,https://api2025.jizi.jp/v1/plans/M-010/icon
M-011,OH!カステラ,OH!カステラ,https://api2025.jizi.jp/v1/plans/M-011/icon
M-012,"U53,54",じゃが蔵,https://api2025.jizi.jp/v1/plans/M-012/icon
M-013,フットサル部,陰茶,https://api2025.jizi.jp/v1/plans/M-013/icon
M-014,U33.34,33-4モクテル,https://api2025.jizi.jp/v1/plans/M-014/icon
M-016,vamos,vamosの焼き鳥,https://api2025.jizi.jp/v1/plans/M-016/icon
M-017,U55,ゴーゴーアゲパン,https://api2025.jizi.jp/v1/plans/M-017/icon
M-018,Taki's kitchen,タキサン堂,https://api2025.jizi.jp/v1/plans/M-018/icon
M-019,工学院クラスe,肉巻いてEじゃん！,https://api2025.jizi.jp/v1/plans/M-019/icon
M-020,水泳部,水泳部のチョコバナナ,https://api2025.jizi.jp/v1/plans/M-020/icon
M-021,留学促進団体FLAP,FLAP FRIET,https://api2025.jizi.jp/v1/plans/M-021/icon
M-022,U23・24,団子処木村,https://api2025.jizi.jp/v1/plans/M-022/icon
M-023,東京科学大学Meister,ロシたこ人間,https://api2025.jizi.jp/v1/plans/M-023/icon
M-024,Poona,Poonaじゃがバター,https://api2025.jizi.jp/v1/plans/M-024/icon
M-025,"37,38ユニット",とんじる,https://api2025.jizi.jp/v1/plans/M-025/icon
M-026,TECHSPRESSO COFFEE STAND,TECHSPRESSO COFFEE STAND,https://api2025.jizi.jp/v1/plans/M-026/icon
M-027,科学大セパタクロークラブ,綿タクロー,https://api2025.jizi.jp/v1/plans/M-027/icon
M-028,ISA SciTokyo,はるばるとIndia,https://api2025.jizi.jp/v1/plans/M-028/icon
M-029,在日ｲﾝﾄﾞﾈｼｱ留学生会,インドネシア良屋,https://api2025.jizi.jp/v1/plans/M-029/icon
M-030,東京科学大学タイ留学生会 (旧タイ東工大）,カノムクロック (タイのココナッツミニパンケーキ),https://api2025.jizi.jp/v1/plans/M-030/icon
M-031,競技スキー部,アイスチュロス,https://api2025.jizi.jp/v1/plans/M-031/icon
M-032,U77&U78,U77&U78 クロッフル,https://api2025.jizi.jp/v1/plans/M-032/icon
M-033,科学大サイクリング部,サイクリング部の牛串,https://api2025.jizi.jp/v1/plans/M-033/icon
M-034,SEVEN,セブンのフランクフルト,https://api2025.jizi.jp/v1/plans/M-034/icon
M-035,東京科学大学編入生会,東京科学大学編入生会,https://api2025.jizi.jp/v1/plans/M-035/icon
M-036,石曽根研究室,石曽根ガラスの森美術館,https://api2025.jizi.jp/v1/plans/M-036/icon
M-037,中国人留学生学友会,本格中華小籠包屋,https://api2025.jizi.jp/v1/plans/M-037/icon
M-038,U67.68,焼き鳥 塩 対 たれ あなたはどっち派,https://api2025.jizi.jp/v1/plans/M-038/icon
M-039,土質研究室,トッポギ떡볶이,https://api2025.jizi.jp/v1/plans/M-039/icon
M-040,"U13,14",喫茶屋のひとりごと,https://api2025.jizi.jp/v1/plans/M-040/icon
M-041,JIZI22 OB/OG,伝説復刻！揚げじゃが熱波！,https://api2025.jizi.jp/v1/plans/M-041/icon
M-042,ユニット27.28,Dognald,https://api2025.jizi.jp/v1/plans/M-042/icon
M-043,U79・U80,チュロスdx,https://api2025.jizi.jp/v1/plans/M-043/icon
M-044,"ユニット5,6",タ。たこ焼きの運動について,https://api2025.jizi.jp/v1/plans/M-044/icon
M-045,ユニット51&52,イカすタコス！,https://api2025.jizi.jp/v1/plans/M-045/icon
M-046,"U41,42",くろふる。,https://api2025.jizi.jp/v1/plans/M-046/icon
M-047,オリエンテーリング部, Oh! Let's Tacos!,https://api2025.jizi.jp/v1/plans/M-047/icon
M-048,鼎研究室,HydroButter,https://api2025.jizi.jp/v1/plans/M-048/icon
M-049,U17＆U18,揚げパン工房,https://api2025.jizi.jp/v1/plans/M-049/icon
M-050,ZC研究所,ゼロカーボンエネルギー研究所秘伝の豚汁,https://api2025.jizi.jp/v1/plans/M-050/icon
M-051,U151619,アボガドロの愛したレモネード,https://api2025.jizi.jp/v1/plans/M-051/icon
M-052,少林寺拳法部,拳でクレープ,https://api2025.jizi.jp/v1/plans/M-052/icon
M-053,U47.5,違法クレープ取引所,https://api2025.jizi.jp/v1/plans/M-053/icon
M-054,土木・環境工学系四年有志,ど～？ぼくのお好み焼き,https://api2025.jizi.jp/v1/plans/M-054/icon
M-055,UNIT57&58,超チヂミ♡宣伝部,https://api2025.jizi.jp/v1/plans/M-055/icon
M-056,東工大BelleBreeze,東工大Belle Breeze KEBAB,https://api2025.jizi.jp/v1/plans/M-056/icon
M-057,岡山,揚げパンデミック,https://api2025.jizi.jp/v1/plans/M-057/icon
M-058,卓球部,卓球部のチョコバナナ,https://api2025.jizi.jp/v1/plans/M-058/icon
M-059,U65・66,たいやきやいた,https://api2025.jizi.jp/v1/plans/M-059/icon
M-060,F.C. Taki,iTAdaKI,https://api2025.jizi.jp/v1/plans/M-060/icon
M-061,U74&75,wanna be mochi?,https://api2025.jizi.jp/v1/plans/M-061/icon
M-062,体操部,肉を味わう焼きそば,https://api2025.jizi.jp/v1/plans/M-062/icon
M-063,東京科学大学Child Care Club,CCCレモン,https://api2025.jizi.jp/v1/plans/M-063/icon
M-064,ユニット07&08,たべたいやき,https://api2025.jizi.jp/v1/plans/M-064/icon
M-065,映画研究部,ポップコーン屋,https://api2025.jizi.jp/v1/plans/M-065/icon
M-066,ユニット1・2,Institute of Science Toppogi,https://api2025.jizi.jp/v1/plans/M-066/icon
M-067,東工大WAVE,Blue Reef Cafe,https://api2025.jizi.jp/v1/plans/M-067/icon
M-068,"U39,40 +α",サンキューワッフル,https://api2025.jizi.jp/v1/plans/M-068/icon
M-069,Viettitech,Viettitech,https://api2025.jizi.jp/v1/plans/M-069/icon
M-070,Ultech,食べれるフリスビー屋さん,https://api2025.jizi.jp/v1/plans/M-070/icon
M-071,D3小籠包部,美味小籠包,https://api2025.jizi.jp/v1/plans/M-071/icon
M-072,東京科学大学柔道部,柔道部の柔はしまき,https://api2025.jizi.jp/v1/plans/M-072/icon
M-073,"ユニット3,4合同",churrotech VS sciencechurro,https://api2025.jizi.jp/v1/plans/M-073/icon
M-074,医学科一年A,メディチキ,https://api2025.jizi.jp/v1/plans/M-074/icon
M-075,"ユニット31,32",たません,https://api2025.jizi.jp/v1/plans/M-075/icon
M-076,東京科学大学グライダー部,空でも食べたいチーズハッシュ,https://api2025.jizi.jp/v1/plans/M-076/icon
M-077,L-FiT,マッスルソーセージ,https://api2025.jizi.jp/v1/plans/M-077/icon
M-078,ハンドボール部,俺のチョコバナナ,https://api2025.jizi.jp/v1/plans/M-078/icon
M-079,心身統一合氣道部,氣になるフルーツポンチ,https://api2025.jizi.jp/v1/plans/M-079/icon
M-080,U45&46,C'est bon クレープ,https://api2025.jizi.jp/v1/plans/M-080/icon
S-001,アカペラサークルあじわい,あじわいアカペラ野外ライブ,https://api2025.jizi.jp/v1/plans/S-001/icon
S-002,H2O,ストリートダンスサークルH2O公演,https://api2025.jizi.jp/v1/plans/S-002/icon
S-003,SOS団東工大支部,2.5次元の踊手(オタク),https://api2025.jizi.jp/v1/plans/S-003/icon
S-004,科学大のスカパラ好き（有志）,Tokyo Ska Paradise Orchestra,https://api2025.jizi.jp/v1/plans/S-004/icon
S-005,ギター研究会,Classical guitar Concert,https://api2025.jizi.jp/v1/plans/S-005/icon
S-006,サイクリング部ボール班,自転車×サッカー！？サイクルサッカー実演,https://api2025.jizi.jp/v1/plans/S-006/icon
S-007,Scidol,科学大アイドルライブ,https://api2025.jizi.jp/v1/plans/S-007/icon
S-008,ジャグてっく,ジャグてっく　ジャグリングステージ,https://api2025.jizi.jp/v1/plans/S-008/icon
S-009,心身統一合氣道部,合氣道部工大祭大演武会,https://api2025.jizi.jp/v1/plans/S-009/icon
S-010,田中克典教授のCPRバンド,CPRバンドによる超絶テクニカルメタル,https://api2025.jizi.jp/v1/plans/S-010/icon
S-012,東京科学大学管弦楽団,管弦楽団ミニコンサート,https://api2025.jizi.jp/v1/plans/S-012/icon
S-013,東京科学大学吹奏楽団,東京科学大学吹奏楽団第一回定期演奏会,https://api2025.jizi.jp/v1/plans/S-013/icon
S-014,フォークソングサークル,FSC野外ライブ,https://api2025.jizi.jp/v1/plans/S-014/icon
S-015,プラタナスの会,プラタナスの会工大祭コンサート,https://api2025.jizi.jp/v1/plans/S-015/icon
S-016,Freesiams,Dance Stage: Freesia Flight,https://api2025.jizi.jp/v1/plans/S-016/icon
S-017,Manta Crantz,"""Manta Crantz"" Live",https://api2025.jizi.jp/v1/plans/S-017/icon
S-018,モダンジャズ研究会,JAZZ LIVE,https://api2025.jizi.jp/v1/plans/S-018/icon
S-019,ロス・ガラチェロス,ロス・ガラチェロス　激アツラテンライブ,https://api2025.jizi.jp/v1/plans/S-019/icon
S-020,ロック研究会,ロック研究会大野外ライブin講堂,https://api2025.jizi.jp/v1/plans/S-020/icon
